date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
8/31/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
8/31/2014,new_noncase,0,1,0,0,0,0,1,2,0,1,0,0,0,1,6
8/31/2014,new_suspected,0,3,0,0,0,1,0,1,0,0,0,0,2,0,7
8/31/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/2014,new_confirmed,4,11,0,0,0,4,2,8,0,6,0,0,6,3,44
8/31/2014,cum_noncase,245,407,18,3,17,19,16,19,3,76,17,0,89,18,947
8/31/2014,cum_suspected,15,11,33,0,5,1,1,3,0,1,0,0,5,1,76
8/31/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37
8/31/2014,cum_confirmed,461,350,1,1,0,39,16,70,7,45,9,1,49,28,1077
8/31/2014,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11
8/31/2014,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37
8/31/2014,death_confirmed,180,172,0,0,0,6,2,2,1,15,4,1,2,2,387
8/31/2014,cfr,39,49.1,0,0,0,15.4,12.5,2.9,14.3,33.3,44.4,100,4.1,7.1,35.9
8/31/2014,etc_new_admission,4,,,,,,,,,,,,,,
8/31/2014,etc_currently_admitted,64,,,,,,,,,,,,,,
8/31/2014,etc_cum_admission,399,294,,,,,,,,,,,,,
8/31/2014,etc_new_deaths,4,,,,,,,,,,,,,,
8/31/2014,etc_cum_deaths,177,180,,,,,,,,,,,,,
8/31/2014,etc_new_discharges,0,,,,,,,,,,,,,,
8/31/2014,etc_cum_discharges,175,69,,,,,,,,,,,,,
8/31/2014,cum_contacts,,,,,,,,,,,,,,,
8/31/2014,cum_completed_contacts,,,,,,,,,,,,,,,
8/31/2014,contacts_followed,,,,,,,,,,,,,,,
8/31/2014,new_contacts,,,,,,,,,,,,,,,
8/31/2014,contacts_healthy,,,,,,,,,,,,,,,
8/31/2014,contacts_ill,,,,,,,,,,,,,,,
8/31/2014,contacts_not_seen,,,,,,,,,,,,,,,
8/31/2014,new_completed_contacts,,,,,,,,,,,,,,,
8/31/2014,percent_seen,,,,,,,,,,,,,,,
