date,variable,National,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Mzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
YYYY-MM-DD,new_suspected,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,new_probable,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,new_confirmed,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,total_cumulative,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cum_suspected,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cum_probable,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cum_confirmed,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,total_cumulative,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,Total suspected non-class cases,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,new_deaths,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cum_deaths_suspected,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cum_deaths_probable,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cum_deaths_confirmed,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cum_deaths_total,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cfr,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,new_HCW_case,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cum_HCW_case,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,new_HCW_death,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cum_HCW_death,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,etc_new_admission,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,etc_currently_admitted,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,etc_cum_discharges,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,etc_cum_admission,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,new_contacts,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cum_contacts,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,contacts_followed,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,contacts_seen_today,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,cum_completed_contacts,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,contacts_lost_to_followup,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,new_samples_collected,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,samples_being_analyzed,,,,,,,,,,,,,,,,,,,,,,
YYYY-MM-DD,total_samples_analyzed,,,,,,,,,,,,,,,,,,,,,,
