Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/7/2014,Specimens collected,7,7,,,,,,,,,,,,
9/7/2014,Specimens pending for testing,7,7,,,,,,,,,,,,
9/7/2014,Total specimens tested,,,,,,,,,,,,,,
9/7/2014,Newly reported deaths,22,4,,,,,,3,6,6,3,,,
9/7/2014,Total death/s in confirmed cases,509,27,11,,13,4,,162,29,232,232,,,
9/7/2014,Total death/s in probable cases,427,18,13,,3,3,,154,59,134,134,,1,
9/7/2014,Total death/s in suspected cases,299,,22,,3,5,2,35,53,162,162,5,,
9/7/2014,"Total death/s in confirmed, 
 probable, suspected cases",1235,45,46,,19,12,2,351,141,528,528,5,1,
9/7/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,
9/7/2014,Newly reported contacts,113,6,,,,,,59,,,48,,,
9/7/2014,Total contacts listed,6145,146,514,,61,41,,331,1081,3526,430,9,6,
9/7/2014,Currently under follow-up,3520,42,274,,61,41,,161,923,1759,246,9,4,
9/7/2014,Contacts seen,3395,42,274,,,41,,161,923,1708,246,,,
9/7/2014,"Contacts who completed 21 day 
 follow-up",18,,,,,,,5,,13,,,,
9/7/2014,Contacts lost to follow-up,2,2,,,,,,,,,,,,
9/7/2014,New admissions,10,,,,,,,5,,5,,,,
9/7/2014,"Total no. currently in Treatment 
 Units",213,,,,,,,51,,162,,,,
9/7/2014,Total discharges,9,,,,,,,9,,,,,,
9/7/2014,Cumulative admission/isolation,213,,,,,,,51,,162,,,,
9/7/2014,Newly Reported Cases in HCW,3,,,,,,,,2,1,,,,
9/7/2014,Cumulative cases among HCW,163,5,26,,3,3,,20,34,69,3,,,
9/7/2014,Newly Reported deaths in HCW,,,,,,,,,,,,,,
9/7/2014,Cumulative deaths among HCW,78,5,5,,1,,,17,19,31,,,,
9/7/2014,New Case/s (Suspected),6,,,,,,,,1,5,,,,
9/7/2014,New Case/s (Probable),9,4,,,,,,,3,,2,,,
9/7/2014,New case/s (confirmed),20,,8,,,,,3,3,,6,,,
9/7/2014,Total suspected cases,449,4,88,1,21,4,3,53,160,84,24,6,,1
9/7/2014,Total probable cases,976,34,41,,12,5,,369,127,327,58,3,,
9/7/2014,Total confirmed cases,648,33,36,,13,4,,254,33,226,47,,1,1
9/7/2014,"Total Number of Conformed Cases 
 of Sierra Leonean Nationality",13,,,,,2,,11,,,,,,
9/7/2014,"Total Number of Conformed Cases 
 of Guinean Nationality",4,3,,,,,,,,1,,,,
