Date,Variable,National,Bomi county,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Monteserrado County,Nimba County,RiverCess County
8/6/2014,Specimens collected,6,,,,,,,6,,,,,
8/6/2014,Specimens pending for testing,36,9,9,,1,,,13,1,,1,2,
8/6/2014,Total specimens tested,10,,,,,,,10,,,,,
8/6/2014,Newly reported deaths,7,,,,,,,1,,5,1,,
8/6/2014,Total death/s in confirmed cases,126,6,4,,,1,,62,2,48,3,,
8/6/2014,Total death/s in probable cases,115,4,6,,1,1,,42,,57,3,1,
8/6/2014,Total death/s in suspected cases,42,,1,,,,,16,3,21,1,,
8/6/2014,"Total death/s in confirmed, 
 probable, suspected cases",283,10,11,,1,2,,120,5,126,7,1,
8/6/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,
8/6/2014,Newly reported contacts,42,,,,,,,20,,22,,,
8/6/2014,Total contacts listed,1046,49,62,,3,,,257,28,583,58,6,
8/6/2014,Currently under follow-up,935,45,39,,3,,,257,5,538,44,4,
8/6/2014,Contacts seen,599,45,,,,,,60,,450,44,,
8/6/2014,"Contacts who completed 21 day 
 follow-up",1,,,,,,,,,,1,,
8/6/2014,Contacts lost to follow-up,,,,,,,,,,,,,
8/6/2014,New admissions,13,,,,,,,6,,,7,,
8/6/2014,"Total no. currently in Treatment 
 Units",61,,,,,,,36,,,25,,
8/6/2014,Total discharges,3,,,,,,,3,,,,,
8/6/2014,Cumulative admission/isolation,61,,,,,,,36,,,25,,
8/6/2014,Newly Reported Cases in HCW,5,,,,,,,,4,,1,,
8/6/2014,Cumulative cases among HCW,74,4,23,,,,,15,4,,27,1,
8/6/2014,Newly Reported deaths in HCW,,,,,,,,,,,,,
8/6/2014,Cumulative deaths among HCW,33,4,3,,,,,12,,,14,,
8/6/2014,New Case/s (Suspected),5,,,,,,,,4,,1,,
8/6/2014,New Case/s (Probable),15,,,,,,,9,,,6,,
8/6/2014,New case/s (confirmed),1,,,,,,,,,,0,1,
8/6/2014,Total suspected cases,132,4,33,,,,,57,9,,24,5,
8/6/2014,Total probable cases,272,18,16,,1,1,,140,2,,88,5,1
8/6/2014,Total confirmed cases,142,7,10,,,3,,71,2,,43,6,
8/6/2014,"Total Number of Conformed Cases 
 of Sierra Leonean Nationality",12,,,,,1,,11,,,,,
8/6/2014,"Total Number of Conformed Cases 
 of Guinean Nationality",0,,,,,,,,,,,,
