date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
10/26/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
10/26/2014,new_noncase,1,0,0,0,1,0,3,3,0,0,3,0,4,8,23,
10/26/2014,new_suspected,0,0,0,0,1,0,4,0,2,1,2,0,0,1,11,
10/26/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/26/2014,new_confirmed,0,0,0,0,4,0,7,6,0,0,3,0,23,19,62,
10/26/2014,cum_noncase,304,767,84,17,39,283,82,234,11,172,79,2,797,393,3264,
10/26/2014,cum_suspected,18,77,56,4,5,75,38,23,9,61,28,3,64,38,499,
10/26/2014,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
10/26/2014,cum_confirmed,551,483,38,30,13,497,187,497,26,162,93,2,582,461,3622,
10/26/2014,death_suspected,4,4,2,6,0,22,4,52,3,8,9,1,8,12,135,
10/26/2014,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
10/26/2014,death_confirmed,223,249,18,9,7,139,46,76,14,59,33,1,89,81,1044,
10/26/2014,cfr,41,52,47,30,54,28,25,15,54,36,36,50,15.3,18,29,
10/26/2014,etc_new_admission,,,,,,,,,,,,,,,,
10/26/2014,etc_currently_admitted,,,,,,,,,,,,,,,,
10/26/2014,etc_cum_admission,,,,,,,,,,,,,,,,
10/26/2014,etc_new_deaths,,,,,,,,,,,,,,,,
10/26/2014,etc_cum_deaths,,,,,,,,,,,,,,,,
10/26/2014,etc_new_discharges,,,,,,,,,,,,,,,,
10/26/2014,etc_cum_discharges,,,,,,,,,,,,,,,,
10/26/2014,cum_contacts,2310,3101,560,525,58,2269,2569,5291,976,1034,913,125,,,25374,
10/26/2014,cum_completed_contacts,1835,2798,263,389,0,1681,843,758,669,686,679,105,,,13593,
10/26/2014,contacts_followed,475,244,297,135,55,588,1726,4533,307,348,234,20,,,11718,
10/26/2014,new_contacts,0,0,0,0,0,0,0,51,0,0,12,0,,,106,
10/26/2014,contacts_healthy,475,244,297,135,55,574,1726,4467,307,345,221,20,,,12383,
10/26/2014,contacts_ill,0,0,0,0,0,6,0,2,0,3,0,0,,,21,
10/26/2014,contacts_not_seen,0,0,0,0,2,8,0,64,0,0,1,0,,,104,
10/26/2014,new_completed_contacts,0,0,4,0,0,0,0,32,0,0,0,0,,,88,
10/26/2014,percent_seen,100%,99%,98%,100%,99%,98%,100%,98%,100%,100%,100%,100%,,,98%,
10/26/2014,total_lab_samples,,,,,,,,,,,,,,,122,
10/26/2014,repeat_samples,,,,,,,,,,,,,,,26,
10/26/2014,new_samples,,,,,,,,,,,,,,,96,
10/26/2014,new_positive,,,,,,,,,,,,,,,62,
10/26/2014,new_negative,,,,,,,,,,,,,,,23,
10/26/2014,pending,,,,,,,,,,,,,,,,
10/26/2014,positive_corpse,0,0,0,0,0,0,0,0,0,0,2,0,3,7,12,
10/26/2014,negative_corpse,0,0,0,0,0,0,0,0,0,0,1,0,1,4,6,
