date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
10/24/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
10/24/2014,new_noncase,0,15,0,0,0,17,2,0,0,0,3,0,19,13,69,
10/24/2014,new_suspected,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,
10/24/2014,new_probable,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,
10/24/2014,new_confirmed,0,2,0,0,4,14,7,0,0,0,2,0,8,4,41,
10/24/2014,cum_noncase,303,758,84,17,38,273,78,187,11,159,74,2,772,362,3118,
10/24/2014,cum_suspected,18,76,56,4,4,75,30,23,7,58,25,3,64,37,480,
10/24/2014,cum_probable,32,0,1,0,10,1,0,1,0,1,0,0,1,0,47,
10/24/2014,cum_confirmed,551,479,38,30,9,484,173,486,26,159,88,2,544,421,3490,
10/24/2014,death_suspected,4,4,2,6,0,22,4,52,3,8,9,1,8,12,135,
10/24/2014,death_probable,35,0,19,9,10,16,20,1,2,43,20,1,2,2,180,
10/24/2014,death_confirmed,223,248,18,9,7,135,43,70,14,59,33,1,86,80,1026,
10/24/2014,cfr,41,52,47,30,78,28,25,14,54,37,38,50,15.8,19,29,
10/24/2014,etc_new_admission,,,,,,,,,,,,,,,,
10/24/2014,etc_currently_admitted,,,,,,,,,,,,,,,,
10/24/2014,etc_cum_admission,,,,,,,,,,,,,,,,
10/24/2014,etc_new_deaths,,,,,,,,,,,,,,,,
10/24/2014,etc_cum_deaths,,,,,,,,,,,,,,,,
10/24/2014,etc_new_discharges,,,,,,,,,,,,,,,,
10/24/2014,etc_cum_discharges,,,,,,,,,,,,,,,,
10/24/2014,cum_contacts,2310,2980,560,525,58,2269,2569,5111,977,1034,913,125,,,25074,
10/24/2014,cum_completed_contacts,1768,2647,263,377,0,1681,815,667,669,686,695,105,,,13260,
10/24/2014,contacts_followed,542,333,297,147,55,1588,1754,4444,308,324,218,20,,,12786,
10/24/2014,new_contacts,0,0,0,0,0,0,28,191,0,0,12,0,,,231,
10/24/2014,contacts_healthy,542,333,294,146,55,582,1753,4387,308,322,218,20,,,11912,
10/24/2014,contacts_ill,0,0,3,1,0,2,1,15,0,2,0,0,,,1578,
10/24/2014,contacts_not_seen,0,0,0,0,0,4,0,42,0,0,0,0,,,53,
10/24/2014,new_completed_contacts,0,0,0,0,0,0,0,0,0,25,16,0,,,41,
10/24/2014,percent_seen,100%,99%,98%,100%,100%,98%,100%,98%,100%,100%,100%,100%,,,98%,
10/24/2014,total_lab_samples,,,,,,,,,,,,,,,137,
10/24/2014,repeat_samples,,,,,,,,,,,,,,,24,
10/24/2014,new_samples,,,,,,,,,,,,,,,113,
10/24/2014,new_positive,,,,,,,,,,,,,,,41,
10/24/2014,new_negative,,,,,,,,,,,,,,,69,
10/24/2014,pending,,,,,,,,,,,,,,,3.00,
10/24/2014,positive_corpse,0,0,0,0,4,1,0,0,0,0,0,0,5,0,10,
10/24/2014,negative_corpse,0,14,0,0,0,8,0,0,0,0,3,0,11,5,41,
