date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
8/14/2014,population,"465,048","653,013","325,003","341,690","335,471","494,139","434,937","557,978","335,574","654,142","278,119","168,729","1,040,888","263,619","6,348,350"
8/14/2014,new_noncase,5,2,0,0,0,0,0,0,0,3,0,0,2,1,13
8/14/2014,new_suspected,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3
8/14/2014,new_probable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8/14/2014,new_confirmed,11,1,0,0,0,0,0,0,0,1,0,0,2,0,15
8/14/2014,cum_noncase,206,279,15,1,15,10,10,7,2,59,12,0,58,6,680
8/14/2014,cum_suspected,0,3,33,0,0,1,0,0,0,1,0,0,1,0,39
8/14/2014,cum_probable,32,1,1,0,0,1,0,1,0,1,0,0,1,0,38
8/14/2014,cum_confirmed,389,261,1,1,0,7,2,24,3,23,5,1,15,1,733
8/14/2014,death_suspected,2,1,0,0,0,0,0,1,0,0,0,0,1,0,5
8/14/2014,death_probable,32,0,0,0,0,0,0,1,0,0,0,0,1,0,34
8/14/2014,death_confirmed,157,107,0,0,0,1,0,1,0,2,3,0,2,0,273
8/14/2014,cfr,40.4,41,0,0,0,14.3,0,4.2,0,8.7,60,0,13.3,0,37.2
8/14/2014,etc_new_admission,5,8,,,,,,,,,,,,,
8/14/2014,etc_currently_admitted,44,42,,,,,,,,,,,,,
8/14/2014,etc_cum_admission,346,268,,,,,,,,,,,,,
8/14/2014,etc_new_deaths,3,3,,,,,,,,,,,,,
8/14/2014,etc_cum_deaths,107,154,,,,,,,,,,,,,
8/14/2014,etc_new_discharges,6,3,,,,,,,,,,,,,
8/14/2014,etc_cum_discharges,140,60,,,,,,,,,,,,,
8/14/2014,cum_contacts,366,448,0,0,0,146,19,471,47,169,73,0,334,26,2099
8/14/2014,cum_completed_contacts,,,,,,,,,,,,,,,
8/14/2014,contacts_followed,,,,,,,,,,,,,,,
8/14/2014,new_contacts,Nr,30,0,0,0,0,8,0,0,9,0,0,35,3,85
8/14/2014,contacts_healthy,354,409,0,0,0,134,19,449,47,111,73,0,334,26,1956
8/14/2014,contacts_ill,10,2,0,0,0,0,0,2,0,0,0,0,0,0,14
8/14/2014,contacts_not_seen,0,39,0,0,0,12,2,20,0,58,0,0,0,0,131
8/14/2014,new_completed_contacts,21,27,0,0,0,0,0,0,0,0,0,0,20,0,68
8/14/2014,percent_seen,99%,NA,NA,NA,NA,92%,100%,96%,100%,66%,100%,NA,100%,100%,94%
