date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-11-26,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507
2014-11-26,new_noncase,2,7,0,4,0,3,7,43,2,12,10,0,37,17,144,
2014-11-26,new_suspected,0,1,0,0,0,1,0,9,0,0,4,0,1,5,21,
2014-11-26,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-26,new_confirmed,0,0,0,4,0,2,8,38,0,3,0,0,18,15,88,
2014-11-26,cum_noncase,325,1058,124,63,72,653,250,688,21,478,217,29,1694,846,6518,
2014-11-26,cum_suspected,18,110,78,19,21,104,71,194,12,104,52,6,235,125,1149,
2014-11-26,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
2014-11-26,cum_confirmed,561,494,73,72,82,789,355,846,30,250,158,3,1164,806,5683,
2014-11-26,death_suspected,4,5,2,6,0,22,4,74,3,8,9,1,8,12,158,
2014-11-26,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
2014-11-26,death_confirmed,228,261,29,22,24,191,82,160,16,73,40,2,191,145,1464,
2014-11-26,cfr,40.6,52.8,39.7,30.6,29.3,24.2,23.1,18.9,53.3,29.2,25.3,66.7,16.4,18.0,25.8,
2014-11-26,etc_new_admission,,,,,,,,,,,,,,,,
2014-11-26,etc_currently_admitted,,,,,,,,,,,,,,,,
2014-11-26,etc_cum_admission,,,,,,,,,,,,,,,,
2014-11-26,etc_new_deaths,,,,,,,,,,,,,,,,
2014-11-26,etc_cum_deaths,,,,,,,,,,,,,,,,
2014-11-26,etc_new_discharges,,,,,,,,,,,,,,,,
2014-11-26,etc_cum_discharges,,,,,,,,,,,,,,,,
2014-11-26,cum_contacts,3233,3218,1059,765,255,6071,3079,7976,1222,1619,1631,165,9374,6017,45684,
2014-11-26,cum_completed_contacts,2534,3033,454,670,10,4594,1863,1578,1103,995,1467,125,5547,4181,28154,
2014-11-26,contacts_followed,699,53,605,93,247,1388,1216,6398,119,570,164,40,2698,1294,15584,
2014-11-26,new_contacts,69,0,0,6,0,174,0,62,0,36,0,0,40,9,396,
2014-11-26,contacts_healthy,699,53,587,93,247,1388,1216,6337,119,570,164,40,2630,1279,15422,
2014-11-26,contacts_ill,0,0,18,0,0,0,0,12,0,0,0,0,5,5,40,
2014-11-26,contacts_not_seen,0,0,0,0,0,0,0,49,0,0,0,0,23,1,73,
2014-11-26,new_completed_contacts,15,0,0,0,0,163,0,7,0,0,92,0,105,0,382,
2014-11-26,percent_seen,99,99,98,100,99,98,100,98,100,100,98,100,98,98,99,
2014-11-26,total_lab_samples,,,,,,,,,,,,,,,357,
2014-11-26,repeat_samples,,,,,,,,,,,,,,,104,
2014-11-26,new_samples,,,,,,,,,,,,,,,253,
2014-11-26,new_positive,,,,,,,,,,,,,,,88,
2014-11-26,new_negative,,,,,,,,,,,,,,,144,
2014-11-26,pending,,,,,,,,,,,,,,,21,
2014-11-26,positive_corpse,0,0,0,1,0,1,1,16,0,0,0,0,5,6,30,
2014-11-26,negative_corpse,1,6,0,4,0,1,2,26,2,12,8,0,18,10,90,
