date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
8/24/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
8/24/2014,new_noncase,3,0,0,0,0,0,0,2,0,1,0,0,0,0,6
8/24/2014,new_suspected,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4
8/24/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/24/2014,new_confirmed,11,5,0,0,0,0,0,7,0,0,0,0,0,0,23
8/24/2014,cum_noncase,224,380,17,1,17,16,12,16,2,72,15,0,78,12,862
8/24/2014,cum_suspected,14,4,33,0,0,1,0,1,0,0,0,0,0,0,53
8/24/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37
8/24/2014,cum_confirmed,428,308,1,1,0,17,10,54,5,33,9,1,26,11,904
8/24/2014,death_suspected,4,1,1,0,0,0,0,1,0,0,0,0,1,0,8
8/24/2014,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37
8/24/2014,death_confirmed,180,145,0,0,0,1,1,1,0,2,4,0,2,0,336
8/24/2014,cfr,42.1,47.1,0,0,0,5.9,0,1.9,0,6.1,44.4,0,7.7,0,37.2
8/24/2014,etc_new_admission,7,-,,,,,,,,,,,,,
8/24/2014,etc_currently_admitted,47,-,,,,,,,,,,,,,
8/24/2014,etc_cum_admission,368,294,,,,,,,,,,,,,
8/24/2014,etc_new_deaths,3,-,,,,,,,,,,,,,
8/24/2014,etc_cum_deaths,145,180,,,,,,,,,,,,,
8/24/2014,etc_new_discharges,4,-,,,,,,,,,,,,,
8/24/2014,etc_cum_discharges,171,69,,,,,,,,,,,,,
8/24/2014,cum_contacts,NA,1586,53,12,0,NA,213,642,84,350,132,26,NA,NA,3091
8/24/2014,cum_completed_contacts,NA,1180,38,0,0,NA,11,59,62,191,17,26,NA,NA,1584
8/24/2014,contacts_followed,NA,448,0,12,0,NA,202,588,21,159,15,0,NA,NA,1445
8/24/2014,new_contacts,NA,22,0,0,0,NA,194,11,0,2,0,0,NA,NA,229
8/24/2014,contacts_healthy,NA,418,0,0,0,NA,201,553,21,156,0,0,NA,NA,1349
8/24/2014,contacts_ill,NA,3,0,0,0,NA,1,6,0,1,0,0,NA,NA,11
8/24/2014,contacts_not_seen,NA,27,0,0,0,NA,0,29,0,2,0,0,NA,NA,58
8/24/2014,new_completed_contacts,NA,64,0,0,0,NA,0,12,0,0,0,0,NA,NA,76
8/24/2014,percent_seen,NA,100%,NA,NA,NA,NA,100%,100%,100%,99%,NA,NA,NA,NA,94%
