date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police traning School
9/22/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,,,
9/22/2014,new_noncase,0,19,0,0,1,1,3,8,0,0,0,0,13,3,48,,,
9/22/2014,new_suspected,0,4,0,0,0,1,0,3,0,0,0,1,5,1,15,,,
9/22/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9/22/2014,new_confirmed,0,2,0,6,0,0,12,10,3,0,0,0,9,7,49,,,
9/22/2014,cum_noncase,280,530,30,5,25,49,36,63,4,86,37,1,241,82,1469,,,
9/22/2014,cum_suspected,18,33,39,0,0,10,2,7,1,17,5,2,16,8,158,,,
9/22/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,
9/22/2014,cum_confirmed,529,416,18,10,0,148,56,187,13,77,41,1,165,84,1745,,,
9/22/2014,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,
9/22/2014,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,
9/22/2014,death_confirmed,210,229,2,1,0,6,2,16,1,16,7,1,8,3,502,,,
9/22/2014,cfr,39.7,55,0,10,0,4.1,3.6,8.6,7.7,20.8,17.1,100,4.8,3.6,29,,,
9/22/2014,etc_new_admission,1,1,,,,,,,,,,,,,,9,,
9/22/2014,etc_currently_admitted,45,40,,,,,,,,,,,,,,14,,
9/22/2014,etc_cum_admission,623,499,,,,,,,,,,,,,,16,,
9/22/2014,etc_new_deaths,2,1,,,,,,,,,,,,,,0,,
9/22/2014,etc_cum_deaths,213,242,,,,,,,,,,,,,,2,,
9/22/2014,etc_new_discharges,0,9,,,,,,,,,,,,,,0,,
9/22/2014,etc_cum_discharges,111,271,,,,,,,,,,,,,,0,,
9/22/2014,cum_contacts,1553,2696,228,118,,894,1376,1793,409,681,353,89,913,366,11469,,,
9/22/2014,cum_completed_contacts,1169,2161,140,12,,263,197,258,240,529,178,32,474,114,5767,,,
9/22/2014,contacts_followed,181,543,86,106,,631,1179,1536,169,141,135,57,447,262,5473,,,
9/22/2014,new_contacts,53,11,0,0,,51,613,3,76,0,0,0,0,0,807,,,
9/22/2014,contacts_healthy,181,526,84,106,,599,1179,1515,169,141,135,57,447,262,5401,,,
9/22/2014,contacts_ill,0,17,2,0,,32,0,21,0,0,0,0,0,0,72,,,
9/22/2014,contacts_not_seen,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
9/22/2014,new_completed_contacts,0,43,0,0,,0,0,0,0,0,0,0,0,0,43,,,
9/22/2014,percent_seen,100%,97%,100%,100%,,98%,100%,98%,100%,100%,100%,100%,100%,100%,98%,,,
