date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police traning School
9/25/2014,population,"465,048","653,013","325,003","341,690","335,471","494,139","434,937","557,978","335,574","654,142","278,119","168,729","1,040,888","263,619","6,348,350",,,
9/25/2014,new_noncase,11,0,0,0,20,0,5,0,1,0,0,11,7,55,,,,
9/25/2014,new_suspected,2,0,1,0,1,0,1,0,0,0,0,1,1,7,,,,
9/25/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
9/25/2014,new_confirmed,5,0,2,0,31,0,12,0,4,0,0,11,10,75,,,,
9/25/2014,cum_noncase,572,35,5,26,72,39,76,4,87,38,1,282,99,1616,,,,
9/25/2014,cum_suspected,30,40,1,0,11,3,11,1,19,10,2,14,10,170,,,,
9/25/2014,cum_probable,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,,
9/25/2014,cum_confirmed,422,18,12,0,180,60,213,16,82,50,1,189,113,1885,,,,
9/25/2014,death_suspected,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,,
9/25/2014,death_probable,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,,
9/25/2014,death_confirmed,230,2,1,0,9,4,17,1,16,7,1,8,3,509,,,,
9/25/2014,cfr,54.5,0,8.3,0,5,6.7,8,6.3,19.5,14,100,4.2,2.7,27,,,,
9/25/2014,etc_new_admission,3,0,,,,,,,,,,,,,,0,,
9/25/2014,etc_currently_admitted,53,27,,,,,,,,,,,,,,18,,
9/25/2014,etc_cum_admission,654,501,,,,,,,,,,,,,,28,,
9/25/2014,etc_new_deaths,1,0,,,,,,,,,,,,,,2,,
9/25/2014,etc_cum_deaths,219,245,,,,,,,,,,,,,,10,,
9/25/2014,etc_new_discharges,3,7,,,,,,,,,,,,,,0,,
9/25/2014,etc_cum_discharges,123,288,,,,,,,,,,,,,,0,,
9/25/2014,cum_contacts,1635,2731,257,185,,1007,1376,2338,409,681,353,89,1115,512,12688,,,
9/25/2014,cum_completed_contacts,1204,2231,140,27,,288,237,474,240,540,178,32,619,138,6348,,,
9/25/2014,contacts_followed,431,533,117,155,,719,1139,1864,169,141,175,57,496,374,6370,,,
9/25/2014,new_contacts,47,0,0,0,,31,0,163,0,0,0,0,68,76,385,,,
9/25/2014,contacts_healthy,219,533,117,155,,713,1139,1789,169,140,175,57,352,351,5909,,,
9/25/2014,contacts_ill,0,0,0,0,,4,0,7,0,0,0,0,0,0,11,,,
9/25/2014,contacts_not_seen,212,0,0,0,,2,0,68,0,1,0,0,144,23,450,,,
9/25/2014,new_completed_contacts,5,0,0,0,,0,20,87,0,0,0,0,3,24,139,,,
9/25/2014,percent_seen,50%,100%,100%,100%,,98%,100%,98%,100%,100%,100%,100%,100%,98%,98%,,,
