date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
11/02/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507
11/02/2014,new+AF8-noncase,3,7,2,0,0,1,0,5,0,0,0,0,19,16,53,
11/02/2014,new+AF8-suspected,0,1,3,0,0,0,0,0,0,0,0,0,6,2,12,
11/02/2014,new+AF8-probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11/02/2014,new+AF8-confirmed,1,0,0,0,0,7,0,2,0,0,0,0,35,16,61,
11/02/2014,cum+AF8-noncase,311,840,87,26,48,363,100,273,12,218,87,2,896,457,3720,
11/02/2014,cum+AF8-suspected,18,94,61,4,9,82,41,58,10,71,31,3,90,51,623,
11/02/2014,cum+AF8-probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
11/02/2014,cum+AF8-confirmed,555,493,38,46,23,588,217,561,28,177,96,2,697,536,4057,
11/02/2014,death+AF8-suspected,4,4,2,6,0,22,4,74,3,8,9,1,8,12,157,
11/02/2014,death+AF8-probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
11/02/2014,death+AF8-confirmed,226,255,18,11,7,144,52,80,16,59,33,1,97,86,1085,
11/02/2014,cfr,40.7,51.7,47.4,23.9,30.4,24.5,24,14.3,57.1,33.3,34.4,50,13.9,16,26.7,
11/02/2014,etc+AF8-new+AF8-admission,0,,,,,,,,,14,,,,,27,
11/02/2014,etc+AF8-currently+AF8-admitted,50,,,,,,,,,38,,,,,207,
11/02/2014,etc+AF8-cum+AF8-admission,950,,,,,,,,,164,,,,,2170,
11/02/2014,etc+AF8-new+AF8-deaths,1,,,,,,,,,1,,,,,4,
11/02/2014,etc+AF8-cum+AF8-deaths,248,,,,,,,,,35,,,,,724,
11/02/2014,etc+AF8-new+AF8-discharges,2,,,,,,,,,1,,,,,3,
11/02/2014,etc+AF8-cum+AF8-discharges,233,,,,,,,,,61,,,,,820,
11/02/2014,cum+AF8-contacts,2474,3164,614,565,108,2625,2711,6455,1103,1079,1126,125,4417,3165,29731,
11/02/2014,cum+AF8-completed+AF8-contacts,2166,2702,321,189,8,1681,1007,860,939,710,845,105,2181,1741,15455,
11/02/2014,contacts+AF8-followed,308,348,306,375,100,944,1704,5595,157,339,281,20,2236,1424,14137,
11/02/2014,new+AF8-contacts,0,0,0,0,2,0,22,171,126,0,0,0,17,29,367,
11/02/2014,contacts+AF8-healthy,308,348,288,369,100,929,1704,5555,157,338,281,20,1463,594,12454,
11/02/2014,contacts+AF8-ill,0,0,6,0,0,11,0,8,0,1,0,0,3,11,40,
11/02/2014,contacts+AF8-not+AF8-seen,0,0,0,0,0,4,0,32,0,0,0,0,773,830,1639,
11/02/2014,new+AF8-completed+AF8-contacts,14,15,13,0,8,0,0,0,0,0,0,0,42,1,93,
11/02/2014,percent+AF8-seen,100+ACU-,99+ACU-,98+ACU-,100+ACU-,99+ACU-,98+ACU-,100+ACU-,98+ACU-,100+ACU-,100+ACU-,100+ACU-,100+ACU-,98+ACU-,98+ACU-,98+ACU-,
11/02/2014,total+AF8-lab+AF8-samples,,,,,,,,,,,,,,,159,
11/02/2014,repeat+AF8-samples,,,,,,,,,,,,,,,33,
11/02/2014,new+AF8-samples,,,,,,,,,,,,,,,126,
11/02/2014,new+AF8-positive,,,,,,,,,,,,,,,61,
11/02/2014,new+AF8-negative,,,,,,,,,,,,,,,53,
11/02/2014,pending,,,,,,,,,,,,,,,12,
11/02/2014,positive+AF8-corpse,0,0,0,0,0,2,0,0,0,0,0,0,13,1,16,
11/02/2014,negative+AF8-corpse,0,7,1,0,0,1,0,0,0,0,0,0,9,3,21,
