date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
10/4/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,
10/4/2014,new_noncase,0,2,0,0,1,4,0,1,0,3,2,0,8,8,29
10/4/2014,new_suspected,0,1,0,1,0,8,0,0,0,0,0,0,1,2,13
10/4/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/2014,new_confirmed,0,0,0,0,0,14,0,4,0,0,0,0,11,6,35
10/4/2014,cum_noncase,281,615,45,6,30,113,47,128,5,102,47,1,365,162,1947
10/4/2014,cum_suspected,18,43,43,3,0,20,13,18,2,23,18,2,36,20,259
10/4/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37
10/4/2014,cum_confirmed,530,431,23,21,0,241,86,309,21,96,60,1,270,187,2276
10/4/2014,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11
10/4/2014,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37
10/4/2014,death_confirmed,216,232,2,1,0,18,7,18,5,17,8,1,9,4,538
10/4/2014,cfr,41,54,0,5,0,8,8,6,24,18,13,100,3,2,24
10/4/2014,etc_new_admission,,,,,,,,,,,,,,,29
10/4/2014,etc_currently_admitted,,,,,,,,,,,,,,,205
10/4/2014,etc_cum_admission,,,,,,,,,,,,,,,1704
10/4/2014,etc_new_deaths,,,,,,,,,,,,,,,0
10/4/2014,etc_cum_deaths,,,,,,,,,,,,,,,571
10/4/2014,etc_new_discharges,,,,,,,,,,,,,,,3
10/4/2014,etc_cum_discharges,,,,,,,,,,,,,,,468
10/4/2014,cum_contacts,1776,2818,427,361,,1245,1465,2851,537,887,488,105,1468,1004,15432
10/4/2014,cum_completed_contacts,1220,2549,140,50,,361,352,534,284,661,246,90,754,328,7569
10/4/2014,contacts_followed,556,276,286,311,,866,1113,8317,253,226,242,15,714,676,13851
10/4/2014,new_contacts,45,0,0,22,,49,0,60,0,41,45,0,54,195,511
10/4/2014,contacts_healthy,555,273,266,311,,871,1113,2273,253,223,240,15,512,169,7074
10/4/2014,contacts_ill,1,0,20,0,,11,0,2,0,3,2,0,0,4,43
10/4/2014,contacts_not_seen,0,3,0,0,,2,0,18,0,0,0,0,202,503,728
10/4/2014,new_completed_contacts,0,33,0,0,,0,0,0,0,0,0,0,15,13,61
10/4/2014,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%
