date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
10/25/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
10/25/2014,new_noncase,0,9,0,0,0,10,1,44,0,13,2,0,21,23,123,
10/25/2014,new_suspected,0,1,0,0,0,0,4,0,0,2,1,0,0,0,8,
10/25/2014,new_probable,0,0,0,0,0,3,1,3,0,0,0,0,2,0,9,
10/25/2014,new_confirmed,0,4,0,0,0,13,7,5,0,3,2,0,15,21,70,
10/25/2014,cum_noncase,303,767,84,17,38,283,79,231,11,172,76,2,793,385,3241,
10/25/2014,cum_suspected,18,77,56,4,4,75,34,23,7,60,26,3,64,37,488,
10/25/2014,cum_probable,32,0,1,0,32,6,4,4,0,1,1,0,1,0,82,
10/25/2014,cum_confirmed,551,483,38,30,9,497,180,491,26,162,90,2,559,442,3560,
10/25/2014,death_suspected,4,4,2,6,0,22,4,52,3,8,9,1,8,12,135,
10/25/2014,death_probable,35,0,19,9,32,19,21,4,2,43,20,1,4,2,211,
10/25/2014,death_confirmed,223,249,18,9,7,137,45,74,14,59,33,1,87,81,1037,
10/25/2014,cfr,41,52,47,30,78,28,25,15,54,36,37,50,15.6,18,29,
10/25/2014,etc_new_admission,,,,,,,,,,,,,,,,
10/25/2014,etc_currently_admitted,,,,,,,,,,,,,,,,
10/25/2014,etc_cum_admission,,,,,,,,,,,,,,,,
10/25/2014,etc_new_deaths,,,,,,,,,,,,,,,,
10/25/2014,etc_cum_deaths,,,,,,,,,,,,,,,,
10/25/2014,etc_new_discharges,,,,,,,,,,,,,,,,
10/25/2014,etc_cum_discharges,,,,,,,,,,,,,,,,
10/25/2014,cum_contacts,,,,,,,,,,,,,,,,
10/25/2014,cum_completed_contacts,,,,,,,,,,,,,,,,
10/25/2014,contacts_followed,,,,,,,,,,,,,,,,
10/25/2014,new_contacts,,,,,,,,,,,,,,,,
10/25/2014,contacts_healthy,,,,,,,,,,,,,,,,
10/25/2014,contacts_ill,,,,,,,,,,,,,,,,
10/25/2014,contacts_not_seen,,,,,,,,,,,,,,,,
10/25/2014,new_completed_contacts,,,,,,,,,,,,,,,,
10/25/2014,percent_seen,,,,,,,,,,,,,,,,
10/25/2014,total_lab_samples,,,,,,,,,,,,,,,240,
10/25/2014,repeat_samples,,,,,,,,,,,,,,,39,
10/25/2014,new_samples,,,,,,,,,,,,,,,201,
10/25/2014,new_positive,,,,,,,,,,,,,,,70,
10/25/2014,new_negative,,,,,,,,,,,,,,,123,
10/25/2014,pending,,,,,,,,,,,,,,,,
10/25/2014,positive_corpse,0,1,0,0,0,5,2,2,0,1,0,0,8,14,33,
10/25/2014,negative_corpse,0,4,0,0,0,9,1,12,0,6,1,0,16,15,64,
