date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
10/6/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,
10/6/2014,new_noncase,0,6,2,0,0,0,0,2,0,1,3,0,13,7,34
10/6/2014,new_suspected,0,0,7,0,0,0,0,1,1,0,0,0,3,0,12
10/6/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/6/2014,new_confirmed,1,0,2,0,0,0,14,6,2,1,2,0,10,10,48
10/6/2014,cum_noncase,282,621,49,7,30,131,54,139,5,103,52,1,427,176,2077
10/6/2014,cum_suspected,18,46,48,3,0,34,13,19,3,24,18,2,39,21,288
10/6/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37
10/6/2014,cum_confirmed,532,431,25,21,0,294,100,346,24,107,68,1,300,210,2459
10/6/2014,death_suspected,4,4,2,0,0,13,3,1,0,2,5,0,1,0,35
10/6/2014,death_probable,35,0,19,0,0,7,17,1,0,43,19,0,1,0,142
10/6/2014,death_confirmed,216,234,18,1,0,87,28,18,6,49,27,1,9,5,699
10/6/2014,cfr,41,54,0,5,0,30,28,5,25,46,40,100,3,2,28
10/6/2014,etc_new_admission,,,,,,,,,,,,,,,306
10/6/2014,etc_currently_admitted,,,,,,,,,,,,,,,14
10/6/2014,etc_cum_admission,,,,,,,,,,,,,,,150
10/6/2014,etc_new_deaths,,,,,,,,,,,,,,,8
10/6/2014,etc_cum_deaths,,,,,,,,,,,,,,,0
10/6/2014,etc_new_discharges,,,,,,,,,,,,,,,478
10/6/2014,etc_cum_discharges,,,,,,,,,,,,,,,
10/6/2014,cum_contacts,1835,2818,428,361,,1370,1808,2859,537,887,488,105,1468,1004,15968
10/6/2014,cum_completed_contacts,1275,2549,140,50,,385,462,534,284,661,246,90,754,328,7758
10/6/2014,contacts_followed,615,276,288,311,,985,1346,2325,253,226,242,15,714,676,8272
10/6/2014,new_contacts,0,0,0,0,,56,44,,0,0,0,0,0,0,100
10/6/2014,contacts_healthy,614,276,266,311,,975,1346,2313,253,224,242,15,700,170,7705
10/6/2014,contacts_ill,1,0,22,0,,10,0,3,0,2,0,0,4,0,42
10/6/2014,contacts_not_seen,0,0,0,0,,0,0,9,0,0,0,0,10,6,25
10/6/2014,new_completed_contacts,0,0,0,0,,24,0,0,0,0,0,0,0,0,24
10/6/2014,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,99%,100%,100%,100%,100%,98%
