date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police traning School
9/26/14,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,,,
9/26/14,new_noncase,0,5,0,0,0,0,1,14,0,0,0,0,15,12,47,,,
9/26/14,new_suspected,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,
9/26/14,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9/26/14,new_confirmed,0,1,0,0,0,0,5,18,0,1,0,0,6,4,35,,,
9/26/14,cum_noncase,280,577,35,5,26,77,40,91,4,88,38,1,297,112,1671,,,
9/26/14,cum_suspected,18,30,40,1,0,6,4,10,1,18,10,2,14,9,163,,,
9/26/14,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,
9/26/14,cum_confirmed,529,423,18,12,0,180,65,231,16,83,50,1,195,117,1920,,,
9/26/14,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,
9/26/14,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,
9/26/14,death_confirmed,210,230,2,1,0,10,5,17,1,16,7,1,9,4,513,,,
9/26/14,cfr,39.7,54.4,0,8.3,0,5.6,7.7,7.4,6.3,19.3,14,100,4.6,3.4,26.7,,,
9/26/14,etc_new_admission,16,2,,,,,,,,,,,,,,3,,
9/26/14,etc_currently_admitted,47,26,,,,,,,,,,,,,,20,,
9/26/14,etc_cum_admission,670,503,,,,,,,,,,,,,,31,,
9/26/14,etc_new_deaths,3,3,,,,,,,,,,,,,,1,,
9/26/14,etc_cum_deaths,222,248,,,,,,,,,,,,,,11,,
9/26/14,etc_new_discharges,2,0,,,,,,,,,,,,,,0,,
9/26/14,etc_cum_discharges,125,288,,,,,,,,,,,,,,0,,
9/26/14,cum_contacts,1682,2784,258,194,,1021,1431,2351,487,705,368,87,1310,553,13231,,,
9/26/14,cum_completed_contacts,1204,2283,140,35,,288,237,500,250,661,210,32,634,138,6612,,,
9/26/14,contacts_followed,219,501,118,159,,733,1194,1851,237,44,158,57,676,415,6362,,,
9/26/14,new_contacts,0,20,0,0,,14,55,13,78,24,0,0,180,41,425,,,
9/26/14,contacts_healthy,219,501,116,159,,709,1194,1809,237,43,158,57,473,378,6053,,,
9/26/14,contacts_ill,0,0,2,0,,5,0,12,0,1,0,0,1,1,22,,,
9/26/14,contacts_not_seen,219,0,0,0,,19,0,30,0,0,0,0,203,37,508,,,
9/26/14,new_completed_contacts,5,47,0,0,,0,0,26,10,121,0,0,15,24,248,,,
9/26/14,percent_seen,100%,100%,100%,100%,,98%,100%,98%,100%,100%,100%,100%,100%,98%,0.98,,,
