date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
10/23/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
10/23/2014,new_noncase,0,8,4,0,0,0,0,2,0,6,0,0,39,17,76,
10/23/2014,new_suspected,0,1,1,0,0,0,0,0,1,3,0,0,1,0,7,
10/23/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/23/2014,new_confirmed,1,0,4,0,0,0,1,6,0,0,0,0,27,21,60,
10/23/2014,cum_noncase,303,743,84,17,38,256,76,187,11,159,71,2,753,349,3049,
10/23/2014,cum_suspected,18,76,55,4,4,74,29,23,7,58,25,3,64,37,477,
10/23/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,
10/23/2014,cum_confirmed,551,477,38,30,5,470,166,486,26,159,86,2,536,417,3449,
10/23/2014,death_suspected,4,4,2,6,0,18,4,52,3,3,6,1,8,12,123,
10/23/2014,death_probable,35,0,19,9,0,14,17,1,2,43,19,1,2,2,164,
10/23/2014,death_confirmed,223,248,18,9,0,135,43,70,12,59,33,1,83,78,1012,
10/23/2014,cfr,41,52,47,30,0,29,26,14,46,37,38,50,15.5,19,29,
10/23/2014,etc_new_admission,,,,,,,,,,,,,,,,
10/23/2014,etc_currently_admitted,,,,,,,,,,,,,,,,
10/23/2014,etc_cum_admission,,,,,,,,,,,,,,,,
10/23/2014,etc_new_deaths,,,,,,,,,,,,,,,,
10/23/2014,etc_cum_deaths,,,,,,,,,,,,,,,,
10/23/2014,etc_new_discharges,,,,,,,,,,,,,,,,
10/23/2014,etc_cum_discharges,,,,,,,,,,,,,,,,
10/23/2014,cum_contacts,2310,2980,560,525,58,2269,2541,4920,977,1034,913,125,,,24855,
10/23/2014,cum_completed_contacts,1768,2647,263,377,0,1681,781,636,669,661,679,105,,,13154,
10/23/2014,contacts_followed,542,333,297,147,55,588,1760,4284,308,349,234,20,,,11673,
10/23/2014,new_contacts,27,35,0,83,0,21,0,88,13,55,12,20,,,397,
10/23/2014,contacts_healthy,542,285,297,147,55,582,1760,4247,308,294,221,20,,,11384,
10/23/2014,contacts_ill,0,0,0,0,3,4,0,10,0,0,1,0,,,20,
10/23/2014,contacts_not_seen,0,42,0,0,0,2,0,27,0,0,0,0,,,199,
10/23/2014,new_completed_contacts,0,6,4,0,0,1109,0,0,0,0,0,15,,,1186,
10/23/2014,percent_seen,100%,99%,98%,100%,99%,98%,100%,98%,100%,100%,100%,100%,,,98%,
10/23/2014,total_lab_samples,,,,,,,,,,,,,,,149,
10/23/2014,repeat_samples,,,,,,,,,,,,,,,36,
10/23/2014,new_samples,,,,,,,,,,,,,,,143,
10/23/2014,new_positive,,,,,,,,,,,,,,,60,
10/23/2014,new_negative,,,,,,,,,,,,,,,76,
10/23/2014,pending,,,,,,,,,,,,,,,7%,
10/23/2014,positive_corpse,0,0,1,0,0,0,0,0,0,0,0,0,8,13,22,
10/23/2014,negative_corpse,0,8,3,0,0,0,0,0,0,5,0,0,28,13,57,
