date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police traning School
9/29/14,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,,,
9/29/14,new_noncase,0,1,0,0,1,8,0,0,0,0,0,0,14,8,32,,,
9/29/14,new_suspected,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,,,
9/29/14,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9/29/14,new_confirmed,0,0,0,0,0,27,0,0,0,5,1,0,12,11,56,,,
9/29/14,cum_noncase,280,585,35,5,27,97,40,91,4,88,42,1,312,120,1727,,,
9/29/14,cum_suspected,18,33,40,1,0,8,4,10,1,19,12,2,14,9,171,,,
9/29/14,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,
9/29/14,cum_confirmed,529,426,18,12,0,223,65,231,16,89,55,1,207,128,2000,,,
9/29/14,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,
9/29/14,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,
9/29/14,death_confirmed,210,232,2,1,0,11,5,17,3,16,7,1,9,4,518,,,
9/29/14,cfr,39.7,54.5,0,8.3,0,4.9,7.7,7.4,18.8,18,12.7,100,4.3,3.1,25.9,,,
9/29/14,etc_new_admission,10,0,,,,,,,,,,,,,,0,,
9/29/14,etc_currently_admitted,49,18,,,,,,,,,,,,,,12,,
9/29/14,etc_cum_admission,686,504,,,,,,,,,,,,,,31,,
9/29/14,etc_new_deaths,1,4,,,,,,,,,,,,,,1,,
9/29/14,etc_cum_deaths,226,252,,,,,,,,,,,,,,12,,
9/29/14,etc_new_discharges,6,5,,,,,,,,,,,,,,3,,
9/29/14,etc_cum_discharges,132,293,,,,,,,,,,,,,,7,,
9/29/14,cum_contacts,1606,2803,282,204,,1087,1450,2577,487,836,420,87,1310,538,13687,,,
9/29/14,cum_completed_contacts,1169,2326,140,33,,760,237,500,264,661,221,87,642,153,7193,,,
9/29/14,contacts_followed,167,477,142,162,,327,1213,2077,223,175,199,0,668,385,6215,,,
9/29/14,new_contacts,0,0,0,0,,24,19,75,0,131,45,0,0,0,294,,,
9/29/14,contacts_healthy,167,477,128,162,,310,1213,1987,223,174,198,0,409,374,5822,,,
9/29/14,contacts_ill,0,0,14,0,,13,0,12,0,1,1,0,5,0,46,,,
9/29/14,contacts_not_seen,0,0,0,0,,4,0,74,0,0,0,0,254,11,343,,,
9/29/14,new_completed_contacts,30,9,0,0,,31,0,0,14,0,0,0,4,0,88,,,
9/29/14,percent_seen,100% ,98% ,99% ,100% ,,98% ,100% ,98% ,100% ,100% ,100% ,100% ,100% ,100% ,98% ,,,
